timestamp,powerPctLeft,vLeft,vRight
89027.65058,0,0,0
89027.655981,25,1.19170784950256347656,16.735382080078125
89027.66133,25,4.76147603988647460938,50.206146240234375
89027.666676,25,11.90101337432861328125,83.676910400390625
89027.672022,25,22.610317230224609375,100.41229248046875
89027.677286,25,30.9397754669189453125,83.676910400390625
89027.682544,25,38.079311370849609375,66.9415283203125
89027.687802,25,44.030040740966796875,83.676910400390625
89027.693191,25,49.97965240478515625,66.9415283203125
89027.698588,25,53.5494232177734375,83.676910400390625
89027.703985,25,57.119190216064453125,66.9415283203125
89027.709237,25,59.499034881591796875,66.9415283203125
89027.71448,25,61.87932586669921875,83.676910400390625
89027.719723,25,64.2591705322265625,83.676910400390625
89027.725046,25,67.8289337158203125,100.41229248046875
89027.730374,25,72.58863067626953125,100.41229248046875
89027.735703,25,76.15839385986328125,100.41229248046875
89027.741039,25,79.7288360595703125,100.41229248046875
89027.746376,25,84.488525390625,117.14766693115234375
89027.751713,25,86.86837005615234375,100.41229248046875
89027.757019,25,90.438140869140625,117.14766693115234375
89027.762323,25,94.00791168212890625,117.14766693115234375
89027.767627,25,97.577667236328125,117.14766693115234375
89027.77301,25,101.14810943603515625,117.14766693115234375
89027.778399,25,104.71787261962890625,117.14766693115234375
89027.783788,25,107.09772491455078125,133.883056640625
89027.789104,25,109.477569580078125,117.14766693115234375
89027.794414,25,110.6674957275390625,117.14766693115234375
89027.799725,25,113.04779052734375,117.14766693115234375
89027.805054,25,114.2377166748046875,133.883056640625
89027.810384,25,116.61756134033203125,117.14766693115234375
89027.815715,25,117.80748748779296875,133.883056640625
89027.821152,25,118.99741363525390625,133.883056640625
89027.826595,25,120.18755340576171875,117.14766693115234375
89027.832039,25,121.37747955322265625,133.883056640625
89027.837342,25,121.37747955322265625,117.14766693115234375
89027.842636,25,122.56740570068359375,133.883056640625
89027.84793,25,123.75733184814453125,117.14766693115234375
89027.85341,25,123.75733184814453125,133.883056640625
89027.858902,25,123.75733184814453125,133.883056640625
89027.864395,25,123.75733184814453125,117.14766693115234375
89027.86955,25,124.94725799560546875,133.883056640625
89027.874683,25,126.137176513671875,117.14766693115234375
89027.879816,25,126.137176513671875,133.883056640625
89027.885218,25,126.137176513671875,117.14766693115234375
89027.890638,25,126.137176513671875,133.883056640625
89027.896059,25,126.137176513671875,117.14766693115234375
89027.901255,25,124.94725799560546875,133.883056640625
89027.906438,25,126.13739776611328125,117.14766693115234375
89027.91162,25,124.94747161865234375,133.883056640625
89027.917535,25,126.13739776611328125,133.883056640625
89027.923499,25,124.94747161865234375,117.14766693115234375
89027.929463,25,126.13739776611328125,133.883056640625
89027.934365,25,124.94725799560546875,117.14766693115234375
89027.939196,25,126.137176513671875,117.14766693115234375
89027.944027,25,124.94725799560546875,133.883056640625
89027.949292,25,126.137176513671875,117.14766693115234375
89027.954586,25,124.94725799560546875,133.883056640625
89027.959879,25,126.13739776611328125,133.883056640625
89027.965144,25,124.94747161865234375,117.14766693115234375
89027.970407,25,126.13739776611328125,117.14766693115234375
89027.97567,25,124.94747161865234375,133.883056640625
89027.981189,25,124.94747161865234375,117.14766693115234375
89027.986724,25,124.94747161865234375,117.14766693115234375
89027.99226,25,124.94747161865234375,133.883056640625
89027.997433,25,124.94747161865234375,117.14766693115234375
89028.002582,25,124.94747161865234375,117.14766693115234375
89028.007731,25,123.75754547119140625,133.883056640625
89028.013033,25,123.75754547119140625,117.14766693115234375
89028.018345,25,123.75754547119140625,133.883056640625
89028.023658,25,123.75754547119140625,117.14766693115234375
89028.029038,25,123.75754547119140625,117.14766693115234375
89028.034423,25,123.75754547119140625,133.883056640625
89028.039807,25,122.56740570068359375,117.14766693115234375
89028.045159,25,123.75733184814453125,117.14766693115234375
89028.050508,25,123.75733184814453125,133.883056640625
89028.055858,25,122.56740570068359375,117.14766693115234375
89028.061131,25,122.56740570068359375,133.883056640625
89028.066398,25,122.56740570068359375,117.14766693115234375
89028.071665,25,122.56740570068359375,117.14766693115234375
89028.077007,25,122.56740570068359375,117.14766693115234375
89028.082354,25,122.56740570068359375,133.883056640625
89028.087701,25,123.75733184814453125,117.14766693115234375
89028.093077,25,123.75733184814453125,133.883056640625
89028.098455,25,122.56740570068359375,117.14766693115234375
89028.103833,25,123.75733184814453125,117.14766693115234375
89028.109143,25,123.75733184814453125,133.883056640625
89028.114449,25,122.56740570068359375,117.14766693115234375
89028.119756,25,123.75754547119140625,117.14766693115234375
89028.125028,25,123.75754547119140625,133.883056640625
89028.130298,25,123.75754547119140625,117.14766693115234375
89028.135568,25,123.75754547119140625,133.883056640625
89028.140943,25,122.56761932373046875,117.14766693115234375
89028.146324,25,123.7577667236328125,117.14766693115234375
89028.151706,25,123.7577667236328125,133.883056640625
89028.156991,25,123.7577667236328125,117.14766693115234375
89028.16227,25,123.7577667236328125,133.883056640625
89028.167549,25,123.7577667236328125,117.14766693115234375
89028.172934,25,123.7577667236328125,117.14766693115234375
89028.178327,25,123.7577667236328125,133.883056640625
89028.183719,25,122.567840576171875,117.14766693115234375
89028.189131,25,123.7577667236328125,117.14766693115234375
89028.194545,25,123.7577667236328125,133.883056640625
89028.199958,25,123.7577667236328125,117.14766693115234375
89028.205136,25,123.7577667236328125,133.883056640625
89028.210299,25,122.567840576171875,117.14766693115234375
89028.215461,25,123.7577667236328125,117.14766693115234375
89028.220842,25,123.7577667236328125,133.883056640625
89028.226237,25,122.56761932373046875,117.14766693115234375
89028.231632,25,123.75754547119140625,133.883056640625
89028.237067,25,123.75754547119140625,117.14766693115234375
