timestamp,idealLinearSpeed,measuredLinVel
82243.460726,0,0
82243.465991,0.01737133599817752838,0
82243.471272,0.03474267199635505676,0.00297592254355549812
82243.477042,0.05211400985717773438,0.01368522830307483673
82243.48235,0.06948534399271011353,0.02915422432124614716
82243.487563,0.08685667812824249268,0.04640810936689376831
82243.492929,0.10422801226377487183,0.06485536694526672363
82243.498267,0.12159934639930725098,0.08567901700735092163
82243.503509,0.13897068798542022705,0.107097625732421875
82243.508808,0.15634202957153320313,0.12673135101795196533
82243.51419,0.1737133711576461792,0.14458353817462921143
82243.519434,0.19108471274375915527,0.1624323725700378418
82243.524829,0.20845605432987213135,0.18087619543075561523
82243.530403,0.22582739591598510742,0.19813007116317749023
82243.535648,0.2431987375020980835,0.21538394689559936523
82243.54103,0.26057007908821105957,0.23323614895343780518
82243.546293,0.2779414057731628418,0.25108498334884643555
82243.552339,0.29531273245811462402,0.26893383264541625977
82243.557704,0.31268405914306640625,0.28678268194198608398
82243.562158,0.33005538582801818848,0.30403655767440795898
82243.567416,0.3474267125129699707,0.3218854367733001709
82243.572758,0.36479803919792175293,0.33854746818542480469
82243.578081,0.38216936588287353516,0.35461142659187316895
82243.58422,0.39954069256782531738,0.36948543787002563477
82243.589266,0.40000000596046447754,0.38138467073440551758
82243.594392,0.40000000596046447754,0.38850414752960205078
82243.599607,0.40000000596046447754,0.39266887307167053223
82243.604804,0.40000000596046447754,0.39445409178733825684
82243.610128,0.40000000596046447754,0.39504906535148620605
82243.615482,0.40000000596046447754,0.39504906535148620605
82243.620744,0.40000000596046447754,0.39564400911331176758
82243.626119,0.40000000596046447754,0.3962389826774597168
82243.631314,0.40000000596046447754,0.3974291384220123291
82243.636579,0.40000000596046447754,0.39921399950981140137
82243.64228,0.40000000596046447754,0.39980897307395935059
82243.647691,0.40000000596046447754,0.4015941917896270752
82243.653782,0.40000000596046447754,0.40218901634216308594
82243.658768,0.40000000596046447754,0.40278410911560058594
82243.663542,0.40000000596046447754,0.40337905287742614746
82243.668782,0.40000000596046447754,0.40337905287742614746
82243.674156,0.40000000596046447754,0.40337905287742614746
82243.679583,0.40000000596046447754,0.40337905287742614746
82243.68498,0.40000000596046447754,0.40278398990631103516
82243.689935,0.40000000596046447754,0.40278398990631103516
82243.695704,0.40000000596046447754,0.40218901634216308594
82243.700978,0.40000000596046447754,0.40218901634216308594
82243.706351,0.40000000596046447754,0.40278398990631103516
82243.71162,0.40000000596046447754,0.40218889713287353516
82243.716851,0.40000000596046447754,0.40278387069702148438
82243.722106,0.40000000596046447754,0.40337884426116943359
82243.727436,0.40000000596046447754,0.40278387069702148438
82243.732787,0.40000000596046447754,0.40337884426116943359
82243.737932,0.40000000596046447754,0.40337884426116943359
82243.743348,0.40000000596046447754,0.40337884426116943359
82243.749064,0.40000000596046447754,0.40337884426116943359
82243.755544,0.40000000596046447754,0.40397381782531738281
82243.759981,0.40000000596046447754,0.40337884426116943359
82243.764977,0.40000000596046447754,0.40278378129005432129
82243.770243,0.40000000596046447754,0.40218883752822875977
82243.775516,0.40000000596046447754,0.40278378129005432129
82243.780764,0.40000000596046447754,0.40278378129005432129
82243.786006,0.40000000596046447754,0.40218880772590637207
82243.791443,0.40000000596046447754,0.40159374475479125977
82243.796694,0.40000000596046447754,0.40218871831893920898
82243.80209,0.40000000596046447754,0.40159374475479125977
82243.807767,0.40000000596046447754,0.4027836918830871582
82243.812923,0.40000000596046447754,0.40218871831893920898
82243.818357,0.40000000596046447754,0.40159362554550170898
82243.823627,0.40000000596046447754,0.40159362554550170898
