timestamp,powerPctLeft,powerPctRight,vLeft,vMouse,vRight
48786.767663,0,0,0,0,0
48786.769687,0,0,0,0,0
48786.771711,0,0,0,0,0
48786.773735,0,0,0,0,0
48786.775757,0,0,0,0,0
48786.777778,0,0,0,0,0
48786.779799,0,0,0,0,0
48786.781816,0,0,0,0,0
48786.783822,0,0,0,0,0
48786.785828,0,0,0,0,0
48786.787833,0,0,0,0,0
48786.789844,0,0,0,0,0
48786.791862,0,0,0,0,0
48786.79388,0,0,0,0,0
48786.795897,0,0,0,0,0
48786.797927,0,0,0,0,0
48786.799965,0,0,0,0,0
48786.802003,0,0,0,0,0
48786.804041,0,0,0,0,0
48786.806057,0,0,0,0,0
48786.808061,0,0,0,0,0
48786.810066,0,0,0,0,0
48786.81207,0,0,0,0,0
48786.813976,0,0,0,0,0
48786.815859,0,0,0,0,0
48786.817742,0,0,0,0,0
48786.819625,0,0,0,0,0
48786.821697,0,0,0,0,0
48786.823782,0,0,0,0,0
48786.825867,0,0,0,0,0
48786.827943,0,0,0,0,0
48786.829889,0,0,0,0,0
48786.831836,0,0,0,0,0
48786.833782,0,0,0,0,0
48786.83574,0,0,0,0,0
48786.837744,0,0,0,0,0
48786.839749,0,0,0,0,0
48786.841754,0,0,0,0,0
48786.843767,0,0,0,0,0
48786.845797,0,0,0,0,0
48786.847827,0,0,0,0,0
48786.849857,0,0,0,0,0
48786.851957,0,0,0,0,0
48786.854147,0,0,0,0,0
48786.856337,0,0,0,0,0
48786.858527,0,0,0,0,0
48786.860518,0,0,0,0,0
48786.862354,0,0,0,0,0
48786.86419,0,0,0,0,0
48786.866027,0,0,0,0,0
48786.868024,0,0,0,0,0
48786.870093,0,0,0,0,0
48786.872163,0,0,0,0,0
48786.874233,0,0,0,0,0
48786.876114,0,0,0,0,0
48786.877952,0,0,0,0,0
48786.87979,0,0,0,0,0
48786.881628,0,0,0,0,0
48786.883626,0,0,0,0,0
48786.885634,0,0,0,0,0
48786.887643,0,0,0,0,0
48786.889652,0,0,0,0,0
48786.891669,0,0,0,0,0
48786.893686,0,0,0,0,0
48786.895704,0,0,0,0,0
48786.897744,0,0,0,0,0
48786.899886,0,0,0,0,0
48786.902027,0,0,0,0,0
48786.904169,0,0,0,0,0
48786.906231,0,0,0,0,0
48786.90812,0,0,0,0,0
48786.91001,0,0,0,0,0
48786.911899,0,0,0,0,0
48786.913854,0,0,0,0,0
48786.915893,0,0,0,0,0
48786.917932,0,0,0,0,0
48786.919971,0,0,0,0,0
48786.922035,0,0,0,0,0
48786.924119,0,0,0,0,0
48786.926203,0,0,0,0,0
48786.928287,0,0,0,0,0
48786.930411,0,0,0,0,0
48786.932553,0,0,0,0,0
48786.934695,0,0,0,0,0
48786.936837,0,0,0,0,0
48786.938603,0,0,0,0,0
48786.940283,0,0,0,0,0
48786.941963,0,0,0,0,0
48786.943643,0,0,0,0,0
48786.945632,0,0,0,0,0
48786.947643,0,0,0,0,0
48786.949653,0,0,0,0,0
48786.951665,0,0,0,0,0
48786.9537,0,0,0,0,0
48786.955734,0,0,0,0,0
48786.957768,0,0,0,0,0
48786.959807,0,0,0,0,0
48786.961865,0,0,0,0,0
48786.963924,0,0,0,0,0
48786.965982,0,0,0,0,0
48786.968057,0,0,0,0,0
48786.970168,0,0,0,0,0
48786.97228,0,0,0,0,0
48786.974391,0,0,0,0,0
48786.976549,0,0,0,0,0
48786.978768,0,0,0,0,0
48786.980986,0,0,0,0,0
48786.983205,0,0,0,0,0
48786.985114,0,0,0,0,0
48786.986783,0,0,0,0,0
48786.988452,0,0,0,0,0
48786.99012,0,0,0,0,0
48786.992035,0,0,0,0,0
48786.994061,0,0,0,0,0
48786.996087,0,0,0,0,0
48786.998113,0,0,0,0,0
48787.000014,0,0,0,0,0
48787.001886,0,0,0,0,0
48787.003759,0,0,0,0,0
48787.005631,0,0,0,0,0
48787.007632,0,0,0,0,0
48787.009642,0,0,0,0,0
48787.011652,0,0,0,0,0
48787.013663,0,0,0,0,0
48787.015696,0,0,0,0,0
48787.017729,0,0,0,0,0
48787.019762,0,0,0,0,0
48787.021792,0,0,0,0,0
48787.023807,0,0,0,0,0
48787.025822,0,0,0,0,0
48787.027837,0,0,0,0,0
48787.029853,0,0,0,0,0
48787.031873,0,0,0,0,0
48787.033892,0,0,0,0,0
48787.035911,0,0,0,0,0
48787.037931,0,0,0,0,0
48787.039953,0,0,0,0,0
48787.041974,0,0,0,0,0
48787.043995,0,0,0,0,0
48787.046006,0,0,0,0,0
48787.04801,0,0,0,0,0
48787.050015,0,0,0,0,0
48787.052019,0,0,0,0,0
48787.054043,0,0,0,0,0
48787.056076,0,0,0,0,0
48787.058109,0,0,0,0,0
48787.060143,0,0,0,0,0
48787.06203,0,0,0,0,0
48787.063883,0,0,0,0,0
48787.065736,0,0,0,0,0
48787.06759,0,0,0,0,0
48787.069608,0,0,0,0,0
48787.071637,0,0,0,0,0
48787.073666,0,0,0,0,0
48787.075695,0,0,0,0,0
48787.077718,0,0,0,0,0
48787.07974,0,0,0,0,0
48787.081762,0,0,0,0,0
48787.083796,0,0,0,0,0
48787.085875,0,0,0,0,0
48787.087954,0,0,0,0,0
48787.090034,0,0,0,0,0
48787.092077,0,0,0,0,0
48787.094042,0,0,0,0,0
48787.096007,0,0,0,0,0
48787.097972,0,0,0,0,0
48787.099975,0,0,0,0,0
48787.102026,0,0,0,0,0
48787.104078,0,0,0,0,0
48787.10613,0,0,0,0,0
48787.108146,0,0,0,0,0
48787.110135,0,0,0,0,0
