timestamp,vel
1326.425762,0
1326.426752,0
1326.427743,0
1326.428733,0
1326.429724,0
1326.430714,0
1326.431705,0
1326.432735,0
1326.433773,0
1326.434811,0
1326.435848,0
1326.436886,0
1326.437924,0
1326.438962,0
1326.44,0
1326.441038,0
1326.442076,0
1326.443082,0
1326.444058,0
1326.445033,0
1326.446009,0
1326.446984,0
1326.44796,0
1326.448935,0
1326.449911,0
1326.450886,0
1326.451862,0
1326.452841,0
1326.45384,0
1326.454839,0
1326.455837,0
1326.456836,0
1326.457835,0
1326.458834,0
1326.459832,0
1326.460831,0
1326.46183,0
1326.462829,0
1326.463838,0
1326.464849,0
1326.465861,0
1326.466872,0
1326.467884,0
1326.468895,0
1326.469906,0
1326.470918,0
1326.471929,0
1326.472941,0
1326.473963,0
1326.474996,0
1326.476029,0
1326.477062,0
1326.478096,0
1326.479129,0
1326.480162,0
1326.481195,0
1326.482228,0
1326.483261,0
1326.48428,0
1326.485228,0
1326.486177,0
1326.487125,0
1326.488074,0
1326.489022,0
1326.48997,0
1326.490919,0
1326.491867,0
1326.492815,0
1326.493764,0
1326.4948,0
1326.495853,0
1326.496907,0
1326.49796,0
1326.499014,0
1326.500067,0
1326.50112,0
1326.502174,0
1326.503227,0
1326.504281,0
1326.505287,0
1326.506246,0
1326.507205,0
1326.508164,0
1326.509123,0
1326.510082,0
1326.51104,0
1326.511999,0
1326.512958,0
1326.513917,0
1326.514886,0
1326.515902,0
1326.516919,0
1326.517936,0
1326.518953,0
1326.51997,0
1326.520986,0
1326.522003,0
1326.52302,0
1326.524037,0
1326.525053,0
1326.526053,0
1326.527048,0
1326.528044,0
1326.52904,0
1326.530035,0
1326.531031,0
1326.532026,0
1326.533022,0
1326.534018,0
1326.535013,0
1326.536002,0
1326.536984,0
1326.537966,0
1326.538948,0
1326.53993,0
1326.540912,0
1326.541894,0
1326.542876,0
1326.543858,0
1326.54484,0
1326.545829,0
1326.546853,0
1326.547876,0
1326.5489,0
1326.549923,0
1326.550946,0
1326.55197,0
1326.552993,0
1326.554017,0
1326.55504,0
1326.556063,0
1326.557067,0
1326.558067,0
1326.559066,0
1326.560066,0
1326.561066,0
1326.562065,0
1326.563065,0
1326.564064,0
1326.565064,0
1326.566064,0
1326.567066,0
1326.56807,0
1326.569075,0
1326.57008,0
1326.571084,0
1326.572089,0
1326.573094,0
1326.574098,0
1326.575103,0
1326.576108,0
1326.577106,0
1326.578071,0
1326.579036,0
1326.580002,0
1326.580967,0
1326.581932,0
1326.582897,0
1326.583863,0
1326.584828,0
1326.585793,0
1326.586758,0
1326.587775,0
1326.588802,0
1326.589829,0
1326.590857,0
1326.591884,0
1326.592911,0
1326.593938,0
1326.594965,0
1326.595992,0
1326.597019,0
1326.598045,0
1326.599068,0
1326.600092,0
1326.601115,0
1326.602139,0
1326.603163,0
1326.604186,0
1326.60521,0
1326.606233,0
1326.607257,0
1326.608267,0
1326.609211,0
1326.610155,0
1326.611099,0
1326.612043,0
1326.612987,0
1326.613931,0
1326.614875,0
1326.615819,0
1326.616763,0
1326.617707,0
1326.618722,0
1326.619751,0
1326.620781,0
1326.62181,0
1326.622839,0
1326.623869,0
1326.624898,0
1326.625928,0
1326.626957,0
1326.627986,0
1326.629006,0
1326.630015,0
1326.631024,0
1326.632033,0
1326.633042,0
1326.634051,0
1326.63506,0
1326.63607,0
1326.637079,0
1326.638088,0
1326.639089,0
1326.640053,0
1326.641017,0
1326.641981,0
1326.642944,0
1326.643908,0
1326.644872,0
1326.645835,0
1326.646799,0
1326.647763,0
1326.648727,0
1326.649767,0
1326.650824,0
1326.65188,0
1326.652936,0
1326.653992,0
1326.655049,0
1326.656105,0
1326.657161,0
