seg,v_max,R2,T_m
1,6.600806570653873e-05,-0.0016571351503806842,0.03573495322297831
3,-0.00020528064191877428,-0.0023768938288779573,0.03573495322297831
5,0.00034706467708820875,-0.008875598021756748,0.03573495322297831
7,-0.0003154240733805485,-0.0032311664162465448,0.03573495322297831
9,0.025641193080656703,0.018636715737010978,0.03573495322297831
11,0.0417400186948451,0.0005239258391559476,0.03573495322297831
13,0.18934694572370597,0.4128575330075479,0.03573495322297831
15,0.21985174785479542,0.2979471605267011,0.03573495322297831
17,0.5383259470954018,0.6992062210542098,0.03573495322297831
19,0.590525409228109,0.7595290550882552,0.03573495322297831
21,1.2468256798764976,0.8441463430829724,0.03573495322297831
23,1.8458702699018925,0.8730210857104662,0.03573495322297831
25,2.520581465482783,0.908795012867363,0.03573495322297831
27,3.0861011697818905,0.918965146051237,0.03573495322297831
29,3.7522179444204267,0.9117645937527029,0.03573495322297831
31,4.315308222905922,0.943313046343058,0.03573495322297831
33,4.9644182278877205,0.9237979198948324,0.03573495322297831
35,5.501701189264608,0.9482080582101403,0.03573495322297831
37,6.29537537119717,0.9264445719770948,0.03573495322297831
39,6.669051104208488,0.9522477292748263,0.03573495322297831
41,7.453145326464098,0.9308289238981976,0.03573495322297831
43,7.834012761205698,0.9530998264810613,0.03573495322297831
45,8.606487512002431,0.9350227105204583,0.03573495322297831
47,8.97926888432858,0.9550497375954858,0.03573495322297831
49,9.749619165484186,0.9322216615034405,0.03573495322297831
51,10.11819152954449,0.950252963525062,0.03573495322297831
53,10.89924415865718,0.9328258026617542,0.03573495322297831
55,11.408586896556423,0.9413197948369699,0.03573495322297831
