t,u,v,seg,a
25.086965907000003,3,0.01704219627380371,5,3199.811539990954
25.086971248,3,0.0,5,-3190.824991712604
25.086981976,3,0.008521098136901854,5,1588.5716129170032
25.086987312,3,0.0,5,-1596.9074466564925
25.086992601000002,3,0.008521098136901854,5,1611.0981538829265
25.08699789,3,0.0,5,-1611.0981549651292
25.087003209,3,0.008521098136901854,5,1602.0113061867796
25.087008578000003,3,0.0,5,-1587.0922203455166
25.087019373,3,0.008521098136901854,5,1570.419855298341
25.087024895,3,0.0,5,-1543.1180983473664
25.087041227,3,0.008521098136901854,5,1587.9795261027964
25.087046592,3,0.0,5,-1588.2755148553683
25.08705722,3,0.008521098136901854,5,1608.6649311947601
25.087062518,3,0.0,5,-1608.3612938261297
25.087073634,3,0.008521098136901854,5,1509.4947979433484
25.087079279,3,0.0,5,-1509.4947979433484
25.087095109000003,3,0.008521098136901854,5,1631.1443593140673
25.087100404,3,0.0,5,-1609.2725478387765
25.087116409,3,0.008521098136901854,5,1597.8057633142294
25.087121741,3,0.0,5,-1598.1054268354835
25.087161646000002,3,0.008521098136901854,5,2089.5287223324613
25.087161658,3,0.0,5,-710091.6628846038
25.087320117,3,0.008521098136901854,5,1604.122390537931
25.087325479,3,0.0,5,-1589.1641435273557
25.090971839,5,0.008521098136901854,9,1589.7571142181087
25.090977199,5,0.0,9,-1589.757115271831
25.090982533,5,0.008521098136901854,9,1597.50621321678
25.090987840999997,5,0.0,9,-1605.3312243914893
25.091186818999997,5,0.008521098136901854,9,1641.830084325674
25.091192145,5,0.0,9,-1599.9057699954765
25.092992408999997,6,0.008521098136901854,11,1590.6474041260958
25.093003184,6,0.0,11,-1580.9087446989886
25.093013851,6,0.008521098136901854,11,1614.4558805142233
25.093019112999997,6,0.0,11,-1619.364906784347
25.093024374000002,6,0.008521098136901854,11,1619.6727101549657
25.093029689999998,6,0.0,11,-1602.9153769188215
25.093035013,6,0.008521098136901854,11,1600.8074640973011
25.093040335999998,6,0.0,11,-1600.8074662341453
25.09304564,6,0.008521098136901854,11,1606.5418804479225
25.093056243,6,0.0,11,-1607.4510733831157
25.093061582999997,6,0.008521098136901854,11,1595.7112622661398
25.093072272,6,0.0,11,-1594.2185470859656
25.093077601,6,0.008521098136901854,11,1599.0050921904924
25.093088253999998,6,0.0,11,-1599.6054331200573
25.093098939,6,0.01704219627380371,11,3189.0337328989176
25.093104282,6,0.0,11,-3189.6305970815274
25.093109564,6,0.01704219627380371,11,3226.466541771985
25.093114837,6,0.0,11,-3231.9734998224535
25.09312011,6,0.008521098136901854,11,1615.9867510000067
25.093125432,6,0.0,11,-1601.108255770322
25.093130761,6,0.01704219627380371,11,3198.0101843809853
25.09313609,6,0.0,11,-3198.0101843809853
25.093146887,6,0.008521098136901854,11,1577.1049672110557
25.093157557999998,6,0.0,11,-1617.5205285573004
25.093162807000002,6,0.01704219627380371,11,3246.7510496159402
25.093168056,6,0.0,11,-3246.7510540109784
25.093173392,6,0.008521098136901854,11,1596.9074466564925
25.093184090999998,6,0.0,11,-1593.0263861112098
25.093189427000002,6,0.01704219627380371,11,3193.814891186541
25.093194762,6,0.0,11,-3194.4135487030285
25.093205517999998,6,0.01704219627380371,11,3143.7366320168194
25.093210951,6,0.0,11,-3136.7929813889405
25.093221636,6,0.01704219627380371,11,3244.8964718516786
25.093226862999998,6,0.0,11,-3260.41635295424
25.093232089,6,0.008521098136901854,11,1630.5201172576233
25.09324806,6,0.0,11,-1599.3052057836608
25.093258681,6,0.01704219627380371,11,3209.4531596247302
25.09326399,6,0.0,11,-3210.057688165233
25.093274619,6,0.008521098136901854,11,1603.2169591982342
25.093285702,6,0.0,11,-1477.3055019338517
25.093297366999998,6,0.01704219627380371,11,2921.6863149999144
25.093302299999998,6,0.0,11,-3454.7326728560333
25.093307104,6,0.008521098136901854,11,1773.7506518201008
25.093311908,6,0.0,11,-1773.7506531318468
25.093317199,6,0.008521098136901854,11,1610.489158121466
25.093327922,6,0.0,11,-1589.4605740953782
25.093333313,6,0.008521098136901854,11,1580.6154960884426
25.093338709,6,0.0,11,-1579.150877158432
25.093344105,6,0.008521098136901854,11,1579.150878198141
25.093349434,6,0.0,11,-1599.0050921904924
25.093354755,6,0.008521098136901854,11,1601.4091594328534
25.093360075,6,0.0,11,-1601.7101762170716
25.093370579,6,0.008521098136901854,11,1623.6848592581905
25.093381157,6,0.0,11,-1598.4052027797525
25.093397142999997,6,0.01704219627380371,11,3214.9021489208494
25.093402438000002,6,0.0,11,-3218.5450913585473
25.093413058,6,0.008521098136901854,11,1599.9057710626953
25.093418389,6,0.0,11,-1598.4052027797525
25.093429061,6,0.008521098136901854,11,1595.1138402412757
25.093439748,6,0.0,11,-1594.815297480325
