t,u,v,seg
48790.647126,2,0.0,3
48790.647413,2,0.0,3
48790.6477,2,0.0,3
48790.647987,2,0.0,3
48790.648274,2,0.0,3
48790.648994,2,0.0,3
48790.650052,2,0.0,3
48790.651109,2,0.0,3
48790.652167,2,0.0,3
48790.653271,2,0.0,3
48790.654397,2,0.0,3
48790.655523,2,0.0,3
48790.656648,2,0.0,3
48790.658381,2,0.0,3
48790.660254,2,0.0,3
48790.662127,2,0.0,3
48790.664,2,0.0,3
48790.666012,2,0.0,3
48790.668034,2,0.0,3
48790.670055,2,0.0,3
48790.672076,2,0.0,3
48790.674085,2,0.0,3
48790.676093,2,0.0,3
48790.678102,2,0.0,3
48790.680121,2,0.0,3
48790.682187,2,0.0,3
48790.684253,2,0.0,3
48790.68632,2,0.0,3
48790.68836,2,0.0,3
48790.690342,2,0.0,3
48790.692324,2,0.0,3
48790.694306,2,0.0,3
48790.696302,2,0.0,3
48790.698315,2,0.0,3
48790.700329,2,0.0,3
48790.702343,2,0.0,3
48790.70436,2,0.0,3
48790.706379,2,0.0,3
48790.708399,2,0.0,3
48790.710418,2,0.0,3
48790.712436,2,0.0,3
48790.714452,2,0.0,3
48790.716468,2,0.0,3
48790.718485,2,0.0,3
48790.72038,2,0.0,3
48790.722248,2,0.0,3
48790.724116,2,0.0,3
48792.802578,3,0.0,5
48792.804597,3,0.0,5
48792.806609,3,0.0,5
48792.808622,3,0.0,5
48792.810634,3,0.0,5
48792.812658,3,0.0,5
48792.81469,3,0.0,5
48792.816722,3,0.0,5
48792.818754,3,0.0,5
48792.820769,3,0.0,5
48792.822775,3,0.0,5
48792.824781,3,0.0,5
48792.826787,3,0.0,5
48792.82868,3,0.0,5
48792.830548,3,0.0,5
48792.832415,3,0.0,5
48792.834282,3,0.0,5
48792.836298,3,0.0,5
48792.838325,3,0.0,5
48792.840351,3,0.0,5
48792.84242,3,0.0,5
48792.845136,3,0.0,5
48792.847851,3,0.0,5
48792.850567,3,0.0,5
48792.853018,3,0.0,5
48792.854328,3,0.0,5
48792.855637,3,0.0,5
48792.856946,3,0.0,5
48792.858504,3,0.0,5
48792.860608,3,0.0,5
48792.862713,3,0.0,5
48792.864817,3,0.0,5
48792.866846,3,0.0,5
48792.868777,3,0.0,5
48792.870708,3,0.0,5
48792.872639,3,0.0,5
48792.874627,3,0.0,5
48792.87666,3,0.0,5
48792.878693,3,0.0,5
48792.880727,3,0.0,5
48792.882748,3,0.0,5
48792.884763,3,0.0,5
48792.886779,3,0.0,5
48792.888794,3,0.0,5
48792.890749,3,0.0,5
48792.892691,3,0.0,5
48792.894632,3,0.0,5
48792.896574,3,0.0,5
48792.898528,3,0.0,5
48792.900482,3,0.0,5
48792.902437,3,0.0,5
48792.904395,3,0.0,5
48792.906399,3,0.0,5
48792.908402,3,0.0,5
48792.910406,3,0.0,5
48792.912415,3,0.0,5
48792.914446,3,0.0,5
48792.916477,3,0.0,5
48792.918508,3,0.0,5
48792.920531,3,0.0,5
48792.922538,3,0.0,5
48792.924545,3,0.0,5
48792.926551,3,0.0,5
48792.928562,3,0.0,5
48792.930577,3,0.0,5
48792.932592,3,0.0,5
48792.934607,3,0.0,5
48792.936708,3,0.0,5
48792.938878,3,0.0,5
48792.941047,3,0.0,5
48792.943217,3,0.0,5
48792.94518,3,0.0,5
48792.94705,3,0.0,5
48792.94892,3,0.0,5
48792.95079,3,0.0,5
48792.952656,3,0.0,5
48792.954521,3,0.0,5
48792.956386,3,0.0,5
48792.958251,3,0.0,5
48792.960347,3,0.0,5
48792.962458,3,0.0,5
48792.964569,3,0.0,5
48792.966669,3,0.0,5
48792.968613,3,0.0,5
48792.970557,3,0.0002238682210445404,5
48792.972501,3,0.0002238682210445404,5
48792.974455,3,0.0002238682210445404,5
48792.976455,3,0.0002238682210445404,5
48792.978456,3,0.0002238682210445404,5
48792.980456,3,0.0002238682210445404,5
48792.982468,3,0.0002238682210445404,5
48792.984507,3,0.0002238682210445404,5
48792.986546,3,0.0002238682210445404,5
48792.988585,3,0.0002238682210445404,5
48792.990623,3,0.0002238682210445404,5
48792.99266,3,0.0002238682210445404,5
48792.994698,3,0.0002238682210445404,5
48792.996735,3,0.0002238682210445404,5
48792.998747,3,0.0002238682210445404,5
48793.000739,3,0.0002238682210445404,5
48793.002732,3,0.0002238682210445404,5
48793.004724,3,0.0002238682210445404,5
48793.00673,3,0.0002238682210445404,5
48793.008742,3,0.0002238682210445404,5
48793.010754,3,0.0002238682210445404,5
48793.012767,3,0.0002238682210445404,5
48793.014693,3,0.0002238682210445404,5
48793.0166,3,0.0002238682210445404,5
48793.018506,3,0.0002238682210445404,5
48793.020413,3,0.0002238682210445404,5
48793.022392,3,0.0002238682210445404,5
48793.024376,3,0.0002238682210445404,5
48793.026359,3,0.0002238682210445404,5
48793.028345,3,0.0002238682210445404,5
48793.030367,3,0.0002238682210445404,5
48795.110949,4,0.0,7
48795.112965,4,0.0,7
48795.114982,4,0.0,7
48795.117,4,0.0,7
48795.119018,4,0.0,7
48795.121035,4,0.0,7
48795.123034,4,0.0,7
48795.125029,4,0.0,7
48795.127024,4,0.0,7
48795.129018,4,0.0,7
48795.130988,4,0.0,7
48795.132955,4,0.0,7
48795.134923,4,0.0,7
48795.13689,4,0.0,7
48795.138854,4,0.0,7
48795.140819,4,0.0,7
48795.142783,4,0.0,7
48795.144752,4,0.0,7
48795.146741,4,0.0,7
48795.14873,4,0.0,7
48795.150719,4,0.0,7
48795.152721,4,0.0,7
48795.154751,4,0.0,7
48795.156781,4,0.0,7
48795.158812,4,0.0,7
48795.160838,4,0.0,7
48795.162858,4,0.0,7
48795.164878,4,0.0,7
48795.166898,4,0.0,7
48795.168923,4,0.0,7
48795.170954,4,0.0,7
48795.172985,4,0.0,7
48795.175015,4,0.0,7
48795.177021,4,0.0,7
48795.179015,4,0.0,7
48795.181009,4,0.0,7
48795.183004,4,0.0,7
48795.184905,4,0.0,7
48795.186786,4,0.0,7
48795.188666,4,0.0,7
48795.190547,4,0.0,7
48795.192568,4,0.0,7
48795.194598,4,0.0,7
48795.196629,4,0.0,7
48795.198657,4,0.0,7
48795.200653,4,0.0,7
48795.202649,4,0.0,7
48795.204645,4,0.0,7
48795.206654,4,0.0,7
48795.208723,4,0.0,7
48795.210793,4,0.0,7
48795.212862,4,0.0,7
48795.214902,4,0.0,7
48795.216879,4,0.0,7
48795.218857,4,0.0,7
48795.220834,4,0.0,7
48795.222853,4,0.0,7
48795.224926,4,0.0,7
48795.226999,4,0.0,7
48795.229072,4,0.0,7
48795.231089,4,0.0,7
48795.233062,4,0.0,7
48795.235034,4,0.0,7
48795.237007,4,0.0,7
48795.239021,4,0.0,7
48795.241054,4,0.0,7
48795.243087,4,0.0,7
48795.24512,4,0.0,7
48795.247104,4,0.0,7
48795.249077,4,0.0,7
48795.251049,4,0.0,7
48795.253022,4,0.0,7
48795.254929,4,0.0,7
48795.256832,4,0.0,7
48795.258735,4,0.0,7
48795.260645,4,0.0,7
48795.26266,4,0.0,7
48795.264674,4,0.0,7
48795.266689,4,0.0,7
48795.268701,4,0.0,7
48795.270704,4,0.0,7
48795.272706,4,0.0,7
48795.274709,4,0.0,7
48795.27673,4,0.0,7
48795.278792,4,0.0,7
48795.280855,4,0.0,7
48795.282917,4,0.0,7
48795.284954,4,0.0,7
48795.286958,4,0.0,7
48795.288963,4,0.0,7
48795.290967,4,0.0,7
48795.292973,4,0.0,7
48795.294979,4,0.0,7
48795.296985,4,0.0,7
48795.298991,4,0.0,7
48795.301009,4,0.0,7
48795.303032,4,0.0,7
48795.305055,4,0.0,7
48795.307078,4,0.0,7
48795.308992,4,0.0,7
48795.310881,4,0.0,7
48795.312769,4,0.0,7
48795.314658,4,0.0,7
48795.316671,4,0.0,7
48795.318692,4,0.0,7
48795.320713,4,0.0,7
48795.322748,4,0.0,7
48795.324993,4,0.0,7
48795.327237,4,0.0,7
48795.329482,4,0.0,7
48795.331634,4,0.0,7
48795.33339,4,0.0,7
48795.335146,4,0.0,7
48795.336902,4,0.0,7
48795.338747,4,0.0,7
48797.429001,5,0.005597265720367431,9
48797.431087,5,0.005597265720367431,9
48797.433045,5,0.005373285293579101,9
48797.435004,5,0.005373285293579101,9
48797.436962,5,0.005373285293579101,9
48797.43894,5,0.005373285293579101,9
48797.441002,5,0.005373285293579101,9
48797.443065,5,0.005373285293579101,9
48797.445127,5,0.005373285293579101,9
48797.447163,5,0.005597153663635254,9
48797.449143,5,0.005597153663635254,9
48797.451122,5,0.005597153663635254,9
48797.453101,5,0.005597153663635254,9
48797.455449,5,0.005597153663635254,9
48797.458269,5,0.005821022033691406,9
48797.46109,5,0.005821022033691406,9
48797.46391,5,0.005821022033691406,9
48797.465824,5,0.005821022033691406,9
48797.467033,5,0.005821022033691406,9
48797.468242,5,0.005821022033691406,9
48797.469451,5,0.005821022033691406,9
48797.471224,5,0.005821022033691406,9
48797.473252,5,0.005821022033691406,9
48797.475281,5,0.005597153663635254,9
48797.47731,5,0.005821022033691406,9
48797.479289,5,0.005821022033691406,9
48797.481256,5,0.005821022033691406,9
48797.483224,5,0.005821022033691406,9
48797.485192,5,0.005821022033691406,9
48797.487091,5,0.005821022033691406,9
48797.488987,5,0.005821022033691406,9
48797.490882,5,0.005821022033691406,9
48797.492786,5,0.005821022033691406,9
48797.49483,5,0.005821022033691406,9
48797.496874,5,0.005821022033691406,9
48797.498918,5,0.0060448904037475595,9
48797.500958,5,0.0060448904037475595,9
48797.502978,5,0.0060448904037475595,9
48797.504997,5,0.0060448904037475595,9
48797.507017,5,0.0060448904037475595,9
48797.509037,5,0.0060448904037475595,9
48797.511059,5,0.005821022033691406,9
48797.51308,5,0.005821022033691406,9
48797.515102,5,0.005821022033691406,9
48797.517174,5,0.005821022033691406,9
48797.519311,5,0.005821022033691406,9
48797.521448,5,0.005821022033691406,9
48797.523585,5,0.005821022033691406,9
48797.525586,5,0.005821022033691406,9
48797.527482,5,0.005821022033691406,9
48797.529378,5,0.005597153663635254,9
48797.531273,5,0.005821022033691406,9
48797.533246,5,0.005821022033691406,9
48797.535254,5,0.005821022033691406,9
48797.537261,5,0.005821022033691406,9
48797.539269,5,0.005597153663635254,9
48797.541229,5,0.005821022033691406,9
48797.543179,5,0.005821022033691406,9
48797.545128,5,0.0060448904037475595,9
48797.547078,5,0.0060448904037475595,9
48797.549029,5,0.0060448904037475595,9
48797.55098,5,0.0060448904037475595,9
48797.552931,5,0.0060448904037475595,9
48797.554885,5,0.0060448904037475595,9
48797.556883,5,0.0060448904037475595,9
48797.558881,5,0.0060448904037475595,9
48797.560878,5,0.0060448904037475595,9
48797.562881,5,0.0060448904037475595,9
48797.564906,5,0.0060448904037475595,9
48797.566931,5,0.005821022033691406,9
48797.568955,5,0.005821022033691406,9
48797.57098,5,0.005821022033691406,9
48797.573005,5,0.005821022033691406,9
48797.57503,5,0.005821022033691406,9
48797.577055,5,0.005597153663635254,9
48797.579093,5,0.005597153663635254,9
48797.581147,5,0.005821022033691406,9
48797.583202,5,0.005821022033691406,9
48797.585256,5,0.005821022033691406,9
48797.587372,5,0.005821022033691406,9
48797.589535,5,0.005821022033691406,9
48797.591699,5,0.005821022033691406,9
48797.593863,5,0.005821022033691406,9
48797.595816,5,0.005821022033691406,9
48797.597674,5,0.005821022033691406,9
48797.599532,5,0.005597153663635254,9
48797.60139,5,0.005821022033691406,9
48797.603248,5,0.005821022033691406,9
48797.605107,5,0.005821022033691406,9
48797.606965,5,0.005597153663635254,9
48797.608824,5,0.005821022033691406,9
48797.61085,5,0.005821022033691406,9
48797.612888,5,0.005821022033691406,9
48797.614925,5,0.005821022033691406,9
48797.61696,5,0.005821022033691406,9
48797.618954,5,0.005821022033691406,9
48797.620948,5,0.005597153663635254,9
48797.622942,5,0.005597153663635254,9
48797.62494,5,0.005597153663635254,9
48797.626954,5,0.005597153663635254,9
48797.628968,5,0.005597153663635254,9
48797.630982,5,0.005597153663635254,9
48797.632999,5,0.005821133613586426,9
48797.635025,5,0.0060450019836425775,9
48797.637052,5,0.0060450019836425775,9
48797.639078,5,0.0060450019836425775,9
48797.641163,5,0.0060450019836425775,9
48797.643325,5,0.0060450019836425775,9
48797.645487,5,0.0060450019836425775,9
48797.647649,5,0.0060450019836425775,9
48797.649648,5,0.005597265720367431,9
48797.65152,5,0.005821133613586426,9
48797.653393,5,0.005821133613586426,9
48797.655265,5,0.005821133613586426,9
48797.657263,5,0.005821133613586426,9
48797.659317,5,0.005821133613586426,9
48799.749547,6,0.015448140144348145,11
48799.7521,6,0.015448140144348145,11
48799.754653,6,0.015448140144348145,11
48799.757206,6,0.015448140144348145,11
48799.759759,6,0.015448140144348145,11
48799.762312,6,0.015448140144348145,11
48799.764865,6,0.015448140144348145,11
48799.767418,6,0.015448140144348145,11
48799.769971,6,0.015448140144348145,11
48799.772523,6,0.015448140144348145,11
48799.775076,6,0.015672008514404298,11
48799.777629,6,0.015672008514404298,11
48799.778351,6,0.015672008514404298,11
48799.77865,6,0.015448140144348145,11
48799.778949,6,0.015448140144348145,11
48799.779248,6,0.015448140144348145,11
48799.781131,6,0.01589587688446045,11
48799.78312,6,0.01589587688446045,11
48799.785109,6,0.01589587688446045,11
48799.787133,6,0.01589587688446045,11
48799.789678,6,0.01589587688446045,11
48799.792222,6,0.015672008514404298,11
48799.794766,6,0.015672008514404298,11
48799.797413,6,0.015672008514404298,11
48799.800502,6,0.015672008514404298,11
48799.803592,6,0.015672008514404298,11
48799.806681,6,0.015672008514404298,11
48799.808945,6,0.015672008514404298,11
48799.809391,6,0.015672008514404298,11
48799.809838,6,0.015672008514404298,11
48799.810284,6,0.015672008514404298,11
48799.811418,6,0.015672008514404298,11
48799.813434,6,0.015895987510681154,11
48799.81545,6,0.015895987510681154,11
48799.817467,6,0.015895987510681154,11
48799.819468,6,0.015672120094299316,11
48799.821458,6,0.015672120094299316,11
48799.823447,6,0.015448140144348145,11
48799.825437,6,0.015448140144348145,11
48799.82783,6,0.015448140144348145,11
48799.830407,6,0.015448140144348145,11
48799.832983,6,0.015448140144348145,11
48799.83556,6,0.015448140144348145,11
48799.837681,6,0.015448140144348145,11
48799.839696,6,0.015448140144348145,11
48799.841712,6,0.015448140144348145,11
48799.843728,6,0.015224271774291993,11
48799.845558,6,0.015224271774291993,11
48799.847376,6,0.015224271774291993,11
48799.849194,6,0.015224271774291993,11
48799.850994,6,0.01500040340423584,11
48799.852525,6,0.014776535034179687,11
